# Chess Opening Book
# Format: FEN | move1 move2 move3 (alternative moves, weighted by order)

# Starting position - mainline openings
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 | e2e4 d2d4 g1f3 c2c4

# After 1.e4
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1 | e7e5 c7c5 e7e6 c7c6 g8f6

# After 1.e4 e5 - King's Pawn Opening
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2 | g1f3 f2f4 b1c3

# After 1.e4 e5 2.Nf3 - Open Games
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2 | b8c6 g8f6 d7d6

# After 1.e4 e5 2.Nf3 Nc6 - Italian/Spanish
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3 | f1b5 f1c4 b1c3 d2d4

# After 1.e4 e5 2.Nf3 Nc6 3.Bb5 - Ruy Lopez
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3 | a7a6 g8f6 f8c5

# After 1.e4 e5 2.Nf3 Nc6 3.Bc4 - Italian Game
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3 | g8f6 f8c5 b8d7

# After 1.e4 c5 - Sicilian Defense
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6 0 2 | g1f3 b1c3 d2d4 c2c3

# After 1.e4 c5 2.Nf3 - Sicilian, Open
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2 | d7d6 b8c6 e7e6 g8f6

# After 1.e4 c5 2.Nf3 d6 3.d4 - Sicilian Main Line
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq d3 0 3 | c5d4 g8f6

# After 1.e4 e6 - French Defense
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2 | d2d4 b1c3 g1f3

# After 1.e4 e6 2.d4 d5 - French Main Line
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq d6 0 3 | b1c3 e4d5 e4e5

# After 1.d4
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3 0 1 | g8f6 d7d5 e7e6 c7c5

# After 1.d4 Nf6 - Indian Defenses
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2 | c2c4 g1f3 b1c3

# After 1.d4 Nf6 2.c4 - Indian Systems
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq c3 0 2 | e7e6 g7g6 c7c5 d7d5

# After 1.d4 Nf6 2.c4 e6 - Queen's Indian/Nimzo
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3 | b1c3 g1f3

# After 1.d4 Nf6 2.c4 e6 3.Nc3 - Nimzo-Indian
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3 | f8b4 d7d5 b7b6

# After 1.d4 d5 - Queen's Gambit
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq d6 0 2 | c2c4 g1f3 b1c3

# After 1.d4 d5 2.c4 - Queen's Gambit
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq c3 0 2 | e7e6 c7c6 d5c4 g8f6

# After 1.d4 d5 2.c4 e6 - Queen's Gambit Declined
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3 | b1c3 g1f3 c1g5

# After 1.Nf3
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1 | g8f6 d7d5 c7c5 e7e6

# After 1.Nf3 Nf6 - Reti/English
rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2 | c2c4 g2g3 d2d4
